"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"q:\fydp\job\src\Components\Register\FormShortField.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"q:\fydp\job\src\Components\Register\Register.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"q:\fydp\job\src\Components\Register\RegisterForm.css", "CSS", 43, 0, 0, 0, 0, 0, 0, 0, 43
"q:\fydp\job\src\Components\Register\RegisterForm.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 2, 44
"q:\fydp\job\src\Components\RoundMenu\RoundMenu.css", "CSS", 32, 0, 0, 0, 0, 0, 1, 2, 35
"q:\fydp\job\src\Components\RoundMenu\RoundMenu.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"q:\fydp\job\src\Components\SecondarySingleCard\SecondarySingleCard.css", "CSS", 30, 0, 0, 0, 0, 0, 0, 3, 33
"q:\fydp\job\src\Components\SecondarySingleCard\SecondarySingleCard.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
"q:\fydp\job\src\Components\SectionHeader\SectionHeader.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 0, 8
"q:\fydp\job\src\Components\SectionHeader\SectionHeader.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"q:\fydp\job\src\Components\SocialLogin\SocialLogin.css", "CSS", 17, 0, 0, 0, 0, 0, 0, 0, 17
"q:\fydp\job\src\Components\SocialLogin\SocialLogin.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 47
"q:\fydp\job\src\Components\SubHeader\SubHeader.css", "CSS", 26, 0, 0, 0, 0, 0, 1, 2, 29
"q:\fydp\job\src\Components\SubHeader\SubHeader.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"q:\fydp\job\src\Components\TopNav\TopNav.css", "CSS", 89, 0, 0, 0, 0, 0, 2, 3, 94
"q:\fydp\job\src\Components\TopNav\TopNav.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 4, 74
"q:\fydp\job\src\Components\WhyUs\WhyUs.css", "CSS", 96, 0, 0, 0, 0, 0, 1, 1, 98
"q:\fydp\job\src\Components\WhyUs\WhyUs.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 3, 111
"q:\fydp\job\src\index.css", "CSS", 36, 0, 0, 0, 0, 0, 0, 3, 39
"q:\fydp\job\src\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 1474, 3708, 38, 30124, 52, 14, 51, 343, 35804
